"","Gene","Gene.degree"
"231","IRF8",10
"232","JAZF1",10
"233","KLF2",10
"234","KLF8",10
"235","LCOR",10
"236","MXD3",10
"237","MXI1",10
"238","RORA",10
"239","RUNX1",10
"240","SKOR1",10
"241","SP8",10
"242","STAT1",10
"243","TCF4",10
"244","ZBTB44",10
"245","ZFP69B",10
"246","ZFPM1",10
"247","ZNF100",10
"248","ZNF189",10
"249","ZNF267",10
"250","ZNF281",10
"251","ZNF284",10
"252","ZNF358",10
"253","ZNF382",10
"254","ZNF419",10
"255","ZNF518A",10
"256","ZNF559",10
"257","ZNF561",10
"258","ZNF568",10
"259","ZNF646",10
"260","ZNF823",10
"261","ZSCAN16",10
"262","ATF6",9
"263","BCL11A",9
"264","CAMTA1",9
"265","CEBPB",9
"266","CENPB",9
"267","CREB1",9
"268","CTCF",9
"269","HBP1",9
"270","HMG20A",9
"271","IRF2",9
"272","JUN",9
"273","MBD4",9
"274","MEF2A",9
"275","MYNN",9
"276","NFAT5",9
"277","NFXL1",9
"278","PA2G4",9
"279","POU2F2",9
"280","RBAK",9
"281","SATB1",9
"282","SP2",9
"283","THAP7",9
"284","XBP1",9
"285","ZBTB1",9
"286","ZBTB10",9
"287","ZBTB40",9
"288","ZBTB43",9
"289","ZBTB6",9
"290","ZHX2",9
"291","ZKSCAN4",9
"292","ZNF160",9
"293","ZNF182",9
"294","ZNF274",9
"295","ZNF277",9
"296","ZNF33A",9
"297","ZNF404",9
"298","ZNF444",9
"299","ZNF449",9
"300","ZNF649",9
"301","ZNF655",9
"302","ZNF667",9
"303","ZNF680",9
"304","ZNF681",9
"305","ZNF827",9
"306","ZNF830",9
"307","ZNF853",9
"308","AKAP8L",8
"309","ARID3A",8
"310","ATF3",8
"311","BACH2",8
"312","BATF3",8
"313","BAZ2B",8
"314","CLOCK",8
"315","CREB3",8
"316","E2F5",8
"317","EGR1",8
"318","HMG20B",8
"319","IRF5",8
"320","KLF15",8
"321","LEF1",8
"322","MAFK",8
"323","MYB",8
"324","MYSM1",8
"325","NFIL3",8
"326","NFKB2",8
"327","NFYC",8
"328","NR1H2",8
"329","NR4A2",8
"330","PRRX2",8
"331","RBCK1",8
"332","SETDB2",8
"333","SPEN",8
"334","STAT2",8
"335","STAT5B",8
"336","THAP11",8
"337","THAP12",8
"338","THYN1",8
"339","TIGD6",8
"340","TOPORS",8
"341","ZBTB2",8
"342","ZBTB21",8
"343","ZBTB33",8
"344","ZBTB38",8
"345","ZBTB39",8
"346","ZBTB48",8
"347","ZFAT",8
"348","ZFP3",8
"349","ZKSCAN2",8
"350","ZKSCAN8",8
"351","ZNF207",8
"352","ZNF233",8
"353","ZNF280B",8
"354","ZNF316",8
"355","ZNF322",8
"356","ZNF394",8
"357","ZNF439",8
"358","ZNF441",8
"359","ZNF473",8
"360","ZNF480",8
"361","ZNF506",8
"362","ZNF511",8
"363","ZNF544",8
"364","ZNF551",8
"365","ZNF585A",8
"366","ZNF592",8
"367","ZNF639",8
"368","ZNF644",8
"369","ZNF688",8
"370","ZNF708",8
"371","ZNF808",8
"372","ZNF83",8
"373","ZNF880",8
"374","ZSCAN21",8
"375","ATF2",7
"376","CDC5L",7
"377","E2F6",7
"378","ETV3",7
"379","FOS",7
"380","HOXB7",7
"381","KDM5B",7
"382","KLF9",7
"383","KMT2A",7
"384","MAFG",7
"385","MAZ",7
"386","MTERF4",7
"387","NAIF1",7
"388","NFYB",7
"389","PHF1",7
"390","PLAGL2",7
"391","POU2F1",7
"392","SAFB",7
"393","SMAD4",7
"394","SMAD5",7
"395","THAP4",7
"396","TRAFD1",7
"397","TTF1",7
"398","XPA",7
"399","ZBTB25",7
"400","ZBTB5",7
"401","ZFP14",7
"402","ZNF142",7
"403","ZNF264",7
"404","ZNF266",7
"405","ZNF282",7
"406","ZNF296",7
"407","ZNF324B",7
"408","ZNF529",7
"409","ZNF567",7
"410","ZNF579",7
"411","ZNF589",7
"412","ZNF607",7
"413","ZNF621",7
"414","ZNF658",7
"415","ZNF664",7
"416","ZNF699",7
"417","ZNF749",7
"418","ZNF777",7
"419","ZNF782",7
"420","ZNF8",7
"421","ZNF90",7
"422","CENPBD1",6
"423","DOT1L",6
"424","EPAS1",6
"425","GTF2IRD2",6
"426","GTF3A",6
"427","HDX",6
"428","JRK",6
"429","KAT7",6
"430","KDM2B",6
"431","MBD1",6
"432","NFYA",6
"433","NKX6-3",6
"434","NR1D2",6
"435","PATZ1",6
"436","PBX3",6
"437","PHF21A",6
"438","PIN1",6
"439","POU5F1",6
"440","PURB",6
"441","RFX3",6
"442","SLC2A4RG",6
"443","SOX12",6
"444","SP3",6
"445","STAT3",6
"446","STAT4",6
"447","TCF12",6
"448","TEF",6
"449","USF1",6
"450","ZBTB9",6
"451","ZFP90",6
"452","ZHX3",6
"453","ZNF121",6
"454","ZNF148",6
"455","ZNF200",6
"456","ZNF234",6
"457","ZNF260",6
"458","ZNF280C",6
"459","ZNF335",6
"460","ZNF35",6
"461","ZNF37A",6
"462","ZNF407",6
"463","ZNF432",6
"464","ZNF467",6
"465","ZNF471",6
"466","ZNF483",6
"467","ZNF487",6
"468","ZNF496",6
"469","ZNF518B",6
"470","ZNF564",6
"471","ZNF580",6
"472","ZNF608",6
"473","ZNF611",6
"474","ZNF619",6
"475","ZNF627",6
"476","ZNF630",6
"477","ZNF689",6
"478","ZNF711",6
"479","ZNF726",6
"480","ZNF76",6
"481","ZNF768",6
"482","ZNF772",6
"483","ZNF792",6
"484","ZNF805",6
"485","ZNF844",6
"486","ZSCAN12",6
"487","ZXDB",6
"488","ADNP2",5
"489","ATF7",5
"490","BRF2",5
"491","CEBPG",5
"492","CREBL2",5
"493","CSRNP2",5
"494","FAM200B",5
"495","GCM1",5
"496","GTF2IRD2B",5
"497","GZF1",5
"498","HLX",5
"499","HMGN3",5
"500","HOXB3",5
"501","IKZF2",5
"502","JDP2",5
"503","MAFF",5
"504","MBD3",5
"505","MGA",5
"506","MLX",5
"507","MTF1",5
"508","MYC",5
"509","NFE2L3",5
"510","NFIC",5
"511","NFKB1",5
"512","NR1D1",5
"513","NR4A1",5
"514","PAX8",5
"515","PHF20",5
"516","PPARA",5
"517","PRDM15",5
"518","RARG",5
"519","REXO4",5
"520","RLF",5
"521","TBX21",5
"522","TFDP2",5
"523","TFE3",5
"524","THRB",5
"525","TIGD5",5
"526","TMF1",5
"527","WIZ",5
"528","YY1",5
"529","ZBTB11",5
"530","ZBTB17",5
"531","ZBTB34",5
"532","ZFP37",5
"533","ZFP64",5
"534","ZFX",5
"535","ZIK1",5
"536","ZKSCAN5",5
"537","ZNF140",5
"538","ZNF177",5
"539","ZNF18",5
"540","ZNF181",5
"541","ZNF22",5
"542","ZNF224",5
"543","ZNF232",5
"544","ZNF25",5
"545","ZNF285",5
"546","ZNF319",5
"547","ZNF329",5
"548","ZNF337",5
"549","ZNF33B",5
"550","ZNF341",5
"551","ZNF354C",5
"552","ZNF385C",5
"553","ZNF414",5
"554","ZNF420",5
"555","ZNF45",5
"556","ZNF493",5
"557","ZNF510",5
"558","ZNF524",5
"559","ZNF530",5
"560","ZNF548",5
"561","ZNF549",5
"562","ZNF555",5
"563","ZNF566",5
"564","ZNF569",5
"565","ZNF57",5
"566","ZNF597",5
"567","ZNF610",5
"568","ZNF624",5
"569","ZNF652",5
"570","ZNF660",5
"571","ZNF678",5
"572","ZNF687",5
"573","ZNF69",5
"574","ZNF74",5
"575","ZNF75A",5
"576","ZNF770",5
"577","ZNF791",5
"578","ZNF84",5
"579","ZNF850",5
"580","ZNF888",5
"581","ZSCAN22",5
"582","ZSCAN29",5
"583","ANKZF1",4
"584","CASZ1",4
"585","CC2D1A",4
"586","DNMT1",4
"587","ELK3",4
"588","ESR2",4
"589","FOXN3",4
"590","GABPA",4
"591","GFI1",4
"592","GLI1",4
"593","GLI4",4
"594","HES6",4
"595","HHEX",4
"596","HSF2",4
"597","HSF5",4
"598","IRF3",4
"599","JRKL",4
"600","KLF11",4
"601","MAX",4
"602","MBD2",4
"603","MSANTD4",4
"604","MYBL1",4
"605","MYPOP",4
"606","NFATC1",4
"607","PRDM10",4
"608","PRMT3",4
"609","PRR12",4
"610","RBSN",4
"611","REST",4
"612","SCML4",4
"613","SETBP1",4
"614","SGSM2",4
"615","SMAD3",4
"616","SP100",4
"617","SP4",4
"618","TBP",4
"619","TET2",4
"620","TFEC",4
"621","THAP2",4
"622","THAP8",4
"623","THRA",4
"624","UBP1",4
"625","ZBED1",4
"626","ZBED3",4
"627","ZBTB37",4
"628","ZBTB49",4
"629","ZFP2",4
"630","ZFP30",4
"631","ZGLP1",4
"632","ZHX1",4
"633","ZKSCAN1",4
"634","ZNF134",4
"635","ZNF195",4
"636","ZNF202",4
"637","ZNF208",4
"638","ZNF211",4
"639","ZNF221",4
"640","ZNF227",4
"641","ZNF251",4
"642","ZNF254",4
"643","ZNF26",4
"644","ZNF268",4
"645","ZNF273",4
"646","ZNF286B",4
"647","ZNF3",4
"648","ZNF304",4
"649","ZNF317",4
"650","ZNF350",4
"651","ZNF354A",4
"652","ZNF397",4
"653","ZNF408",4
"654","ZNF429",4
"655","ZNF430",4
"656","ZNF431",4
"657","ZNF461",4
"658","ZNF470",4
"659","ZNF484",4
"660","ZNF490",4
"661","ZNF500",4
"662","ZNF512",4
"663","ZNF514",4
"664","ZNF516",4
"665","ZNF517",4
"666","ZNF525",4
"667","ZNF554",4
"668","ZNF594",4
"669","ZNF599",4
"670","ZNF626",4
"671","ZNF628",4
"672","ZNF654",4
"673","ZNF669",4
"674","ZNF672",4
"675","ZNF691",4
"676","ZNF7",4
"677","ZNF700",4
"678","ZNF701",4
"679","ZNF709",4
"680","ZNF710",4
"681","ZNF730",4
"682","ZNF740",4
"683","ZNF746",4
"684","ZNF747",4
"685","ZNF766",4
"686","ZNF773",4
"687","ZNF776",4
"688","ZNF780A",4
"689","ZNF783",4
"690","ZNF790",4
"691","ZNF793",4
"692","ZNF813",4
"693","ZNF85",4
"694","ZNF891",4
"695","ZSCAN2",4
"696","ZSCAN25",4
"697","ZSCAN26",4
"698","ZXDA",4
"699","AHDC1",3
"700","ALX3",3
"701","ARNTL",3
"702","ATF6B",3
"703","BACH1",3
"704","BHLHE41",3
"705","CAMTA2",3
"706","CARF",3
"707","CEBPZ",3
"708","CUX1",3
"709","DPF1",3
"710","EBF4",3
"711","ERF",3
"712","ETV2",3
"713","ETV5",3
"714","FOSL2",3
"715","FOXK1",3
"716","FOXN2",3
"717","FOXO4",3
"718","GLYR1",3
"719","GMEB1",3
"720","GPBP1L1",3
"721","GTF2B",3
"722","GTF2IRD1",3
"723","HINFP",3
"724","HOMEZ",3
"725","IKZF4",3
"726","IKZF5",3
"727","KLF3",3
"728","KLF4",3
"729","KLF5",3
"730","KLF7",3
"731","L3MBTL3",3
"732","MNT",3
"733","MTERF2",3
"734","MTERF3",3
"735","MXD4",3
"736","MZF1",3
"737","NFE2L2",3
"738","NKX3-1",3
"739","NR2C1",3
"740","PAX5",3
"741","PLAGL1",3
"742","PLSCR1",3
"743","POU6F1",3
"744","PRDM16",3
"745","RFX1",3
"746","RXRB",3
"747","SCMH1",3
"748","SNAPC2",3
"749","SOX6",3
"750","SP140L",3
"751","SREBF2",3
"752","STAT5A",3
"753","TCF20",3
"754","TFCP2",3
"755","TGIF2",3
"756","THAP5",3
"757","TP53",3
"758","TSC22D1",3
"759","TSHZ1",3
"760","USF3",3
"761","ZBED5",3
"762","ZBTB14",3
"763","ZBTB42",3
"764","ZBTB45",3
"765","ZC3H8",3
"766","ZFP1",3
"767","ZFP28",3
"768","ZFP62",3
"769","ZFP69",3
"770","ZKSCAN7",3
"771","ZNF10",3
"772","ZNF131",3
"773","ZNF132",3
"774","ZNF135",3
"775","ZNF136",3
"776","ZNF141",3
"777","ZNF143",3
"778","ZNF146",3
"779","ZNF155",3
"780","ZNF169",3
"781","ZNF180",3
"782","ZNF19",3
"783","ZNF197",3
"784","ZNF205",3
"785","ZNF219",3
"786","ZNF222",3
"787","ZNF226",3
"788","ZNF23",3
"789","ZNF235",3
"790","ZNF283",3
"791","ZNF302",3
"792","ZNF324",3
"793","ZNF326",3
"794","ZNF343",3
"795","ZNF362",3
"796","ZNF385A",3
"797","ZNF391",3
"798","ZNF398",3
"799","ZNF418",3
"800","ZNF468",3
"801","ZNF497",3
"802","ZNF507",3
"803","ZNF512B",3
"804","ZNF527",3
"805","ZNF540",3
"806","ZNF546",3
"807","ZNF562",3
"808","ZNF570",3
"809","ZNF571",3
"810","ZNF572",3
"811","ZNF583",3
"812","ZNF586",3
"813","ZNF587",3
"814","ZNF596",3
"815","ZNF629",3
"816","ZNF653",3
"817","ZNF665",3
"818","ZNF677",3
"819","ZNF71",3
"820","ZNF714",3
"821","ZNF717",3
"822","ZNF77",3
"823","ZNF771",3
"824","ZNF789",3
"825","ZNF800",3
"826","ZNF829",3
"827","ZNF836",3
"828","ZNF837",3
"829","ZNF841",3
"830","ZNF845",3
"831","ZNF879",3
"832","ZSCAN20",3
"833","AEBP2",2
"834","AKAP8",2
"835","ARHGAP35",2
"836","ASH1L",2
"837","ATF1",2
"838","CIC",2
"839","CREB3L4",2
"840","CREBZF",2
"841","EEA1",2
"842","ELF4",2
"843","FLYWCH1",2
"844","FOSB",2
"845","FOSL1",2
"846","FOXK2",2
"847","FOXP4",2
"848","HESX1",2
"849","HSF4",2
"850","KCMF1",2
"851","KIN",2
"852","L3MBTL4",2
"853","MECP2",2
"854","MSANTD3",2
"855","MTF2",2
"856","NPAS1",2
"857","NR2F6",2
"858","PCGF6",2
"859","PKNOX1",2
"860","PPARD",2
"861","PRDM1",2
"862","PRDM4",2
"863","PREB",2
"864","REL",2
"865","RFX2",2
"866","SAFB2",2
"867","SIX5",2
"868","TBX19",2
"869","TEAD2",2
"870","TFAP2E",2
"871","THAP1",2
"872","THAP3",2
"873","THAP9",2
"874","TRPS1",2
"875","ZBTB12",2
"876","ZBTB22",2
"877","ZBTB26",2
"878","ZEB2",2
"879","ZKSCAN3",2
"880","ZNF12",2
"881","ZNF17",2
"882","ZNF2",2
"883","ZNF20",2
"884","ZNF239",2
"885","ZNF250",2
"886","ZNF256",2
"887","ZNF28",2
"888","ZNF286A",2
"889","ZNF30",2
"890","ZNF333",2
"891","ZNF34",2
"892","ZNF345",2
"893","ZNF354B",2
"894","ZNF384",2
"895","ZNF426",2
"896","ZNF438",2
"897","ZNF44",2
"898","ZNF440",2
"899","ZNF443",2
"900","ZNF446",2
"901","ZNF48",2
"902","ZNF485",2
"903","ZNF491",2
"904","ZNF501",2
"905","ZNF513",2
"906","ZNF526",2
"907","ZNF547",2
"908","ZNF550",2
"909","ZNF575",2
"910","ZNF577",2
"911","ZNF578",2
"912","ZNF587B",2
"913","ZNF598",2
"914","ZNF600",2
"915","ZNF614",2
"916","ZNF615",2
"917","ZNF625",2
"918","ZNF66",2
"919","ZNF696",2
"920","ZNF707",2
"921","ZNF75D",2
"922","ZNF763",2
"923","ZNF775",2
"924","ZNF780B",2
"925","ZNF786",2
"926","ZNF816",2
"927","ZNF93",2
"928","ZSCAN18",2
"929","ZSCAN30",2
"930","ZSCAN5A",2
"931","ZSCAN9",2
"932","ZZZ3",2
"933","AHCTF1",1
"934","ARID3B",1
"935","BBX",1
"936","BCL6B",1
"937","CCDC17",1
"938","CENPT",1
"939","CXXC1",1
"940","DEAF1",1
"941","DUX4",1
"942","ELK4",1
"943","ETV6",1
"944","FBXL19",1
"945","FIZ1",1
"946","GATAD2A",1
"947","KLF16",1
"948","KMT2B",1
"949","L3MBTL1",1
"950","MITF",1
"951","MTERF1",1
"952","MYT1L",1
"953","NR1H3",1
"954","NRF1",1
"955","POGK",1
"956","PRDM5",1
"957","SNAPC4",1
"958","TBX6",1
"959","TERF2",1
"960","TFAP4",1
"961","THAP6",1
"962","ZBTB20",1
"963","ZFP41",1
"964","ZGPAT",1
"965","ZNF124",1
"966","ZNF175",1
"967","ZNF213",1
"968","ZNF223",1
"969","ZNF276",1
"970","ZNF346",1
"971","ZNF347",1
"972","ZNF383",1
"973","ZNF396",1
"974","ZNF41",1
"975","ZNF415",1
"976","ZNF417",1
"977","ZNF433",1
"978","ZNF486",1
"979","ZNF519",1
"980","ZNF528",1
"981","ZNF532",1
"982","ZNF543",1
"983","ZNF552",1
"984","ZNF563",1
"985","ZNF582",1
"986","ZNF584",1
"987","ZNF613",1
"988","ZNF641",1
"989","ZNF670",1
"990","ZNF674",1
"991","ZNF684",1
"992","ZNF692",1
"993","ZNF721",1
"994","ZNF764",1
"995","ZNF765",1
"996","ZNF785",1
"997","ZNF79",1
"998","ZNF81",1
"999","ZNF92",1
"1000","ZSCAN31",1
"1001","BATF",0
"1002","BORCS8-MEF2B",0
"1003","CENPS",0
"1004","E4F1",0
"1005","ESR1",0
"1006","PBX1",0
"1007","RFX5",0
"1008","RUNX3",0
"1009","SPI1",0
"1010","TERF1",0
"1011","TIGD7",0
"1012","ZNF133",0
"1013","ZNF138",0
"1014","ZNF230",0
"1015","ZNF263",0
"1016","ZNF287",0
"1017","ZNF320",0
"1018","ZNF425",0
"1019","ZNF460",0
"1020","ZNF557",0
"1021","ZNF573",0
"1022","ZNF605",0
"1023","ZNF606",0
"1024","ZNF724",0
"1025","ZNF778",0
"1026","ZNF799",0
"1027","ZNF846",0
"1028","ZSCAN32",0
