"","Gene","Gene.degree"
"1","ZNF718",71
"2","ETS1",58
"3","MEF2C",56
"4","ZNF675",39
"5","JUNB",37
"6","IKZF3",36
"7","SNAPC5",35
"8","MAF",32
"9","FLI1",30
"10","VENTX",29
"11","ZNF706",29
"12","IRF1",28
"13","NCOA3",28
"14","ZNF229",27
"15","ELF2",26
"16","NR4A3",26
"17","ZNF713",26
"18","MAFB",25
"19","MYBL2",25
"20","ZNF804A",25
"21","BCL6",24
"22","EGR2",24
"23","LYL1",24
"24","NR3C1",24
"25","NRL",24
"26","ATF5",23
"27","NCOA2",23
"28","STAT6",23
"29","ARID5A",22
"30","ARID5B",22
"31","SP110",22
"32","TCFL5",22
"33","ZNF416",22
"34","ATMIN",21
"35","HIF1A",21
"36","PURA",21
"37","ZNF623",21
"38","ADNP",20
"39","FOXJ2",20
"40","JUND",20
"41","NME2",20
"42","PRDM2",20
"43","TCF7",20
"44","TP73",20
"45","ZBTB18",20
"46","ZNF280D",20
"47","ZNF410",20
"48","ZNF595",20
"49","E2F2",19
"50","EGR3",19
"51","MXD1",19
"52","YBX1",19
"53","ZBTB32",19
"54","ZMAT1",19
"55","ZNF107",19
"56","ZNF154",19
"57","ZNF852",19
"58","ZXDC",19
"59","BAZ2A",18
"60","CSRNP1",18
"61","E2F1",18
"62","ELF1",18
"63","MBD6",18
"64","MBNL2",18
"65","MLXIP",18
"66","RXRA",18
"67","TCF7L2",18
"68","ZNF585B",18
"69","ZNF860",18
"70","CEBPA",17
"71","GATAD2B",17
"72","HOXB2",17
"73","POU2AF1",17
"74","SREBF1",17
"75","TET3",17
"76","ZBTB4",17
"77","ZNF217",17
"78","ZNF225",17
"79","ZNF436",17
"80","ZNF70",17
"81","ZNF831",17
"82","AHR",16
"83","ATF4",16
"84","BHLHE40",16
"85","CEBPD",16
"86","DRAP1",16
"87","FOXM1",16
"88","GLMP",16
"89","GTF2I",16
"90","MEF2B",16
"91","PRDM8",16
"92","RREB1",16
"93","SP1",16
"94","ZNF14",16
"95","ZNF292",16
"96","ZNF609",16
"97","ZNF91",16
"98","AKNA",15
"99","E2F4",15
"100","GPBP1",15
"101","HIVEP1",15
"102","IRF4",15
"103","NCOA1",15
"104","TFEB",15
"105","VEZF1",15
"106","ZBTB7B",15
"107","ZNF16",15
"108","ZNF174",15
"109","ZNF367",15
"110","ZNF616",15
"111","AEBP1",14
"112","CENPA",14
"113","DNTTIP1",14
"114","IKZF1",14
"115","KLF6",14
"116","MYCL",14
"117","MYCN",14
"118","NFE2L1",14
"119","SKI",14
"120","SKIL",14
"121","SMYD3",14
"122","TFDP1",14
"123","ZBED4",14
"124","ZEB1",14
"125","ZNF165",14
"126","ZNF184",14
"127","ZNF32",14
"128","ZNF428",14
"129","ZNF581",14
"130","ZNF671",14
"131","ARID2",13
"132","CREB3L2",13
"133","CREM",13
"134","ESRRA",13
"135","FOXO1",13
"136","HIC2",13
"137","HMGA1",13
"138","KLF10",13
"139","KLF12",13
"140","RARA",13
"141","SPIB",13
"142","YBX3",13
"143","ZNF24",13
"144","ZNF253",13
"145","ZNF300",13
"146","ZNF43",13
"147","ZNF574",13
"148","ZNF576",13
"149","ZNF668",13
"150","ZNF736",13
"151","ZNF814",13
"152","BATF2",12
"153","CHCHD3",12
"154","CXXC5",12
"155","E2F7",12
"156","ETS2",12
"157","FOXJ3",12
"158","KDM2A",12
"159","LCORL",12
"160","MEF2D",12
"161","NR2C2",12
"162","PBX2",12
"163","SETDB1",12
"164","SNAI3",12
"165","TBPL1",12
"166","TGIF1",12
"167","ZBTB7A",12
"168","ZFHX3",12
"169","ZNF101",12
"170","ZNF212",12
"171","ZNF215",12
"172","ZNF248",12
"173","ZNF275",12
"174","ZNF395",12
"175","ZNF445",12
"176","ZNF682",12
"177","ZNF761",12
"178","ZNF821",12
"179","ARNT",11
"180","C11orf95",11
"181","CPEB1",11
"182","DDIT3",11
"183","E2F3",11
"184","FOXO3",11
"185","FOXP1",11
"186","GMEB2",11
"187","HIVEP3",11
"188","HMBOX1",11
"189","HSF1",11
"190","IRF9",11
"191","KLF13",11
"192","LIN54",11
"193","NFATC2",11
"194","NFATC3",11
"195","NFX1",11
"196","RBPJ",11
"197","RELA",11
"198","RELB",11
"199","REPIN1",11
"200","SCX",11
"201","SON",11
"202","SP140",11
"203","SRCAP",11
"204","SRF",11
"205","TCF3",11
"206","USF2",11
"207","ZFP82",11
"208","ZFP91",11
"209","ZFY",11
"210","ZNF236",11
"211","ZNF257",11
"212","ZNF318",11
"213","ZNF331",11
"214","ZNF451",11
"215","ZNF558",11
"216","ZNF620",11
"217","ZNF737",11
"218","ZNF781",11
"219","ZNF787",11
"220","BPTF",10
"221","CENPX",10
"222","CGGBP1",10
"223","CHAMP1",10
"224","DBP",10
"225","DMTF1",10
"226","DR1",10
"227","ELK1",10
"228","FEZF2",10
"229","HIVEP2",10
"230","IRF7",10
