,Regulatory Gene,Target Gene,weight
140,EPAS1,ZNF33B,0.0230924931180827
141,ZNF217,ZNF225,0.0230763914135338
142,NCOA2,NFAT5,0.0230609349873354
143,ZKSCAN8,CXXC5,0.0230599703840952
144,TRPS1,MSANTD3,0.0230482396381101
145,MAFB,SPIB,0.0230396937341807
146,LYL1,ZKSCAN1,0.0230353796672011
147,IRF1,HMGA1,0.0230273303820437
148,CENPB,BCL11A,0.0230075050111411
149,ZNF280D,ZBTB18,0.0230049041832313
150,E2F3,JAZF1,0.0229703914928365
151,SON,ZNF384,0.0229529573917
152,ZNF675,ELF2,0.0229434379310657
153,ZNF318,SP110,0.0229052599521218
154,KMT2A,ZNF470,0.0228610476065512
155,RXRA,MAFB,0.022858425397183
156,ZNF212,CXXC5,0.0228137305113274
157,ZNF217,PURA,0.0227878040163251
158,ZEB2,HDX,0.0227759851474801
159,IRF5,MYCL,0.0227722358814994
160,ZEB1,ZBTB40,0.0227230200759981
161,ANKZF1,ZBTB40,0.0226971474947546
162,ZNF225,JUNB,0.0225950947218223
163,ZNF664,SNAPC5,0.0225943850978401
164,ANKZF1,ZFP64,0.0225419659382388
165,CENPT,ZNF77,0.0225417939924941
166,ZNF675,PRDM2,0.0225362060575941
167,ZNF574,ZNF266,0.0225138793370797
168,ZNF197,CREB1,0.0224909539153745
169,KLF8,ZNF689,0.0224268826460268
170,ZFP91,SNAI3,0.0224149553543114
171,MYBL2,ZBTB4,0.0224100449935514
172,TFDP1,MAFB,0.0224032584058632
173,ZNF528,ZNF576,0.0224009490183432
174,THAP7,NFAT5,0.0223738093655209
175,HIVEP2,SP1,0.0223510919610541
176,TEF,MYBL2,0.0223286275271002
177,ZNF280D,TET3,0.0223265587007899
178,CEBPZ,ELF4,0.0223202468371857
179,IRF5,AHR,0.022303998395815
180,ATF2,JUNB,0.0222968164641245
181,KLF13,MEF2D,0.0222852700806507
182,ZNF780A,ZFP28,0.0222629985244137
183,SPIB,NR4A2,0.0222455150377245
184,ZNF200,ZKSCAN5,0.0221975948350929
185,POU6F1,ZNF211,0.0221864929837938
186,TGIF1,ZNF860,0.0221700279508955
187,ARID3A,ZNF789,0.0221439314232646
188,MEF2B,SPIB,0.0221344120840625
189,MEF2C,ZNF160,0.0221265479497435
190,E2F5,ZNF675,0.0221154315935853
191,E2F5,PBX2,0.0220553833764511
192,HIVEP1,NFKB2,0.0220516891280897
193,NFX1,KLF6,0.0220194704424125
194,SAFB,CSRNP1,0.0220048919001008
195,ZBTB7A,ZNF404,0.0219774061567973
196,AEBP1,EGR2,0.0219609175703129
197,MBD1,ZSCAN30,0.0219593220365023
198,ZNF318,ZNF395,0.0219491820008044
199,DOT1L,DEAF1,0.0219365655978518
200,NFATC1,ZKSCAN8,0.0219302148468075
201,MLXIP,ZBTB7A,0.0219210167964861
202,ZBTB32,SPIB,0.0218870050412496
203,MAFB,TCFL5,0.0218828823208807
204,HIVEP2,VEZF1,0.0218571591557427
205,ZNF77,ZNF780B,0.0218561996270519
206,ZNF225,ZFPM1,0.0218360352158193
207,ZNF664,NFIC,0.0218111547647328
208,ZNF335,TP73,0.0218108769507661
209,E2F4,ZSCAN25,0.0217710753507601
210,JUNB,ZNF777,0.0217602984248172
211,ZNF90,ZNF768,0.0217039104899014
212,ZNF551,FOXP4,0.0216822127166784
213,IKZF3,HHEX,0.0216782823766459
214,ZBTB32,MYCL,0.0216446697825946
215,ZNF416,ZNF318,0.021624773274257
216,POU2AF1,KLF9,0.0216183033313115
217,E2F2,PRDM1,0.0216108954875651
218,FLI1,ZBED5,0.021605367488737
219,ZSCAN16,ZBTB5,0.0215884371733356
220,ZNF225,RELA,0.0215857951127923
221,MYCL,BCL6,0.021579582508167
222,ZNF416,ZNF548,0.021571223470551
223,E2F1,MYCL,0.0215709623934698
224,GTF2B,ZFY,0.0215690081747889
225,ETS2,CSRNP1,0.0215554399329879
226,ZBTB25,MYB,0.0215313650134147
227,CHCHD3,ZHX2,0.0215096977001358
228,KLF8,ZBTB18,0.0215048779752068
229,ZNF836,ZNF287,0.021462743346688
230,ZNF14,ZNF503,0.0214417511237057
231,MYCL,AHR,0.0214260472821103
232,ZNF404,ZNF266,0.0214047004737797
233,IKZF3,BHLHE40,0.0213860051932424
234,MEF2D,ARID3A,0.0213693221358155
235,E2F5,ETS1,0.0213553007626384
236,ATF2,FOXN2,0.0213287601684875
237,KLF10,E2F1,0.0213223685377886
238,ETS2,AHR,0.021275632800591
239,CSRNP1,SPIB,0.0212724953447512
240,ZNF672,GLMP,0.0212639747657774
241,ZFP82,IKZF5,0.0212159123037944
242,NFATC2,CEBPB,0.0211860531069651
243,ZNF43,ZNF564,0.0211802888043594
244,ZNF100,ZNF524,0.0211678874112051
245,ZNF549,ZNF592,0.0211466710645845
246,SP100,FOXM1,0.0211372195581851
247,ZNF217,ATF2,0.0211167361859089
248,GTF2I,ZNF48,0.0211120756764908
