"","J1_p1_rep1","J2_p1_rep1","J3_p1_rep1","J4_p1_rep1","J5_p1_rep1","J6_p1_rep1","J7_p1_rep1","J8_p1_rep1","J9_p1_rep1","J11_p1_rep1","J13_p1_rep1","J1_p1_rep2","J2_p1_rep2","J3_p1_rep2","J4_p1_rep2","J5_p1_rep2","J6_p1_rep2","J7_p1_rep2","J8_p1_rep2","J9_p1_rep2","J11_p1_rep2","J13_p1_rep2","J1_p2_rep1","J2_p2_rep1","J3_p2_rep1","J4_p2_rep1","J5_p2_rep1","J6_p2_rep1","J7_p2_rep1","J8_p2_rep1","J9_p2_rep1","J10_p2_rep1","J11_p2_rep1","J12_p2_rep1","J13_p2_rep1","J1_p2_rep2","J2_p2_rep2","J3_p2_rep2","J4_p2_rep2","J5_p2_rep2","J6_p2_rep2","J7_p2_rep2","J8_p2_rep2","J9_p2_rep2","J10_p2_rep2","J11_p2_rep2","J12_p2_rep2","J13_p2_rep2"
"ADNP",51.5213495158102,50.3398514911967,52.4166476771666,41.3298178959613,42.3656340999372,41.5275941842912,47.5198862833193,48.8218224868757,38.9643402987089,38.4182995464639,41.005182241944,49.9296354336247,48.592336027706,50.5861013594715,43.4398471729107,42.6444000252332,45.1253809112475,44.6875043191629,44.1020237264483,45.9809658544853,34.3696066603377,36.0224153084878,53.6030190541777,41.4704807528499,38.1196287244634,45.0200630715692,47.2821595673795,45.1300345706747,45.5239810401629,50.6007630816639,41.951723544973,51.4676967917703,39.4901610596647,45.9835664046618,46.860474933588,47.0528239336321,43.5243990302169,39.4854882942011,46.1287940459121,44.7972983181952,43.6621955042462,48.6493441094034,46.866143324561,44.6079009048829,50.7273826081968,42.0779065674877,37.6398320045684,38.4869118271464
"ADNP2",9.81359038396384,8.54827666831643,6.92295346679558,6.1994726843942,5.91148382789822,6.07720890501822,5.05530705141695,7.27133526400276,7.79286805974179,6.40304992441065,5.25707464640308,9.82222336399175,10.4806999275444,6.94319038267256,6.20569245327295,5.95038139886975,6.15346103335193,6.09375058897675,6.30028910377833,7.85040880442433,12.8886024976266,5.29741401595409,8.30469309290076,6.31072533195541,6.0188887459679,8.10361135288246,7.41680934390267,6.44714779581067,5.93791057045603,5.83854958634583,7.19172403628108,5.71863297686337,4.78668618905027,6.41631159134816,9.58509714550663,9.10699818070299,7.25406650503614,5.06224208900014,7.23588926210386,8.3994934346616,12.0767774798979,5.95706254400858,5.85826791557013,7.23371366025128,11.485445118837,4.80890360771288,7.52796640091369,10.690808840874
"AEBP1",35.1653655425371,49.3900429724949,41.5377208007735,42.3630633433604,37.4393975766887,30.3860445250911,22.2433510262346,30.1241032365829,24.4918710449028,29.8808996472497,24.1825433734542,36.8333376149691,54.3090814427303,46.6185639979443,44.4741292484562,36.6940186263635,24.6138441334077,28.4375027485582,28.3513009670025,28.0371743015154,27.9253054115244,30.7250012925337,49.8281585574046,41.4704807528499,32.1007399784955,21.6096302743532,19.4691245277445,30.3936967516789,32.6585081375082,34.0582059203507,32.3627581632649,42.8897473264753,38.2934895124022,34.2203284871902,33.0153346123006,49.3295734788079,46.2446739696054,34.423246205201,20.8031816285486,21.4653721108019,29.7274522582102,34.7495315067167,38.0787414512058,33.757330414506,44.0275396222085,40.8756806655595,34.4135606898911,32.072426522622
"AEBP2",15.5381847746094,17.0965533366329,18.790873695588,19.6316635005816,15.7639568743953,18.2316267150547,13.1437983336841,13.5039083474337,14.4724692538062,13.8732748362231,12.6169791513674,18.0074095006515,14.2918635375606,16.8620337864905,20.6856415109098,18.8428744297542,14.3580757444878,16.2500015706047,14.7006745754828,19.0652785250305,15.0367029138977,16.9517248510531,19.62927458322,16.2275794250282,14.0440737405918,18.0080252286277,15.7607198557932,14.7363378189958,15.8344281878827,19.4618319544861,10.7875860544216,17.1558989305901,16.7534016616759,14.9713937131457,19.1701942910133,19.7318293915232,18.1351662625904,16.1991746848005,16.2807508397337,11.1993245795488,12.0767774798979,15.8855001173562,17.5748037467104,16.878665207253,17.2281676782555,15.6289367250669,15.0559328018274,18.1743750294858
"AHCTF1",15.5381847746094,18.9961703740365,17.8018803431886,19.6316635005816,10.8377203511467,12.1544178100364,22.2433510262346,19.7364814308646,18.9255367165158,21.3434997480355,19.9768836563317,12.2777792049897,16.1974453425687,11.9026120845815,10.3428207554549,14.8759534971744,11.2813452278119,15.2343764724419,11.5505300235936,17.9437915529699,16.1107531220333,12.7137936382898,6.79474889419153,16.2275794250282,12.0377774919358,9.00401261431384,16.687821023781,14.7363378189958,14.8447764261401,14.5963739658646,22.7737927815568,19.0621099228779,19.1467447562011,22.4570905697185,19.1701942910133,13.6604972710545,14.5081330100723,9.11203576020025,9.04486157762983,10.2660475312531,13.005760362967,21.8425626613648,13.669291802997,19.2899030940034,20.0995289579648,19.2356144308515,19.3576278880638,22.4506985658354
"AHDC1",9.81359038396384,5.69885111221095,3.95597340959748,10.3324544739903,8.86722574184733,7.09007705585459,10.1106141028339,8.31009744457458,8.90613492541919,9.60457488661597,10.5141492928062,5.72963029566185,9.5279090250404,4.95942170190897,8.27425660436394,9.91730233144959,7.17903787224392,7.10937568713955,9.4504336556675,4.48594788824247,7.51835145694887,11.654310835099,9.05966519225538,4.50766095139672,6.0188887459679,4.50200630715692,3.70840467195133,6.44714779581067,10.8861693791694,8.75782437951874,4.79448269085405,8.57794946529506,8.37670083083797,6.41631159134816,6.39006476367109,8.34808166564441,4.53379156564759,4.04979367120011,7.23588926210386,9.33277048295733,13.934743246036,9.92843757334764,9.76377985928355,6.02809471687606,8.61408383912775,10.820033117354,7.52796640091369,4.2763235363496
"AHR",4.08899599331827,1.89961703740365,0.988993352399369,1.03324544739903,0.985247304649703,0,0,1.03876218057182,0,1.06717498740177,0,4.0925930683299,1.90558180500808,0.991884340381795,1.03428207554549,0,0,0,0,1.12148697206062,0,0,3.77486049677307,1.80306438055869,0,0.900401261431384,0,0,0,0,0,0,0,0,1.06501079394518,3.79458257529291,1.81351662625904,0,0.904486157762983,0,0,0,0,0,0,0,0,1.0690808840874
"AHRR",0.817799198663653,0.949808518701825,0,0,0,0,0,0,0,0,0,1.63703722733196,0,0,0,0,0,0,0,0,0,0,0.754972099354615,0,0,0,0,0,0,0,0,0,0,0,0,1.51783303011717,0,0,0,0,0.928982883069069,0,0,0,0,0,0,0
"AKAP8",31.8941687478825,37.992340748073,29.6698005719811,29.964117974572,26.601677225542,22.2830993184001,28.3097194879349,32.2016275977265,33.3980059703219,39.4854745338657,30.4910329491379,37.651856228635,34.3004724901454,29.7565302114538,32.0627443419102,27.7684465280588,27.6905746500837,30.4687529448838,27.3012527830394,32.5231221897579,36.5177070766088,30.7250012925337,35.4836886696669,31.5536266597771,27.0849993568556,27.0120378429415,28.7401362076228,32.2357389790533,36.6171151844788,32.1120227249021,31.1641374905513,34.3117978611802,28.7201171343016,29.9427874262914,33.0153346123006,30.3566606023433,32.6432992726626,31.3859009518009,26.2300985751265,28.9315884971677,26.940503609003,31.7710002347125,37.1023634652775,30.1404735843803,35.4134557830808,31.2578734501337,26.8855942889775,34.2105882907968
"AKAP8L",80.144321469038,75.984681496146,100.877321944736,79.5598994497256,55.1738490603834,77.9908476144005,85.9402198740882,92.4498340708922,80.1552143287727,89.6426989417491,117.758472079429,83.4888985939299,78.1288540053312,95.2208966766523,83.7768481191848,64.4624651544223,65.6369176890873,80.2343827548606,107.104914764232,79.6255750163039,98.8126191484709,107.007763122273,76.2521820348161,85.6455580765378,69.2172205786309,58.52608199304,64.8970817591484,89.3390480276621,97.9755244125245,99.2553429678791,93.492412471654,99.1229715989651,100.520409970056,96.2446738702223,89.4609066913952,75.8916515058583,81.6082481816566,68.8464924104019,59.6960864123569,64.3961163324056,85.4664252423543,97.2986882188069,98.6141765787638,92.8326586398914,102.411885642963,108.20033117354,101.089834526555,87.6646324951668
"AKNA",122.669879799548,146.270511880081,164.172896498295,114.690244661293,94.5837412463715,118.505573647855,137.504351798541,139.194132196624,152.517560597804,112.053373677186,105.141492928062,117.866680367901,144.824217180614,156.717725780324,116.873874536641,95.206102381916,122.043643828147,138.12501335014,143.856601202939,154.765202144365,110.627171437962,104.888797515891,123.060452194802,104.577734072404,88.2770349408626,101.745342541746,107.543735486589,123.41682923409,153.396023070114,151.802289244992,153.42344610733,142.01271892544,134.027213293408,133.673158153087,161.881640679668,122.185558924432,112.43803082806,89.0954607664025,101.302449669454,109.193414650601,127.270654980462,153.890782386888,147.433075875182,168.78665207253,132.082618866626,131.042623310176,126.900005043974,158.223970844935
"ALX3",3.27119679465461,0.949808518701825,3.95597340959748,2.06649089479807,1.97049460929941,2.02573630167274,3.03318423085017,3.11628654171547,3.33980059703219,3.20152496220532,3.15424478784185,2.45555584099794,1.90558180500808,2.97565302114538,3.10284622663648,1.98346046628992,2.05115367778398,3.04687529448838,3.15014455188917,3.36446091618185,4.29620083254221,3.17844840957245,4.52983259612769,2.70459657083803,2.00629624865597,2.70120378429415,1.85420233597567,2.76306334106172,2.96895528522801,1.94618319544861,2.39724134542703,3.81242198457558,3.5900146417877,3.20815579567408,2.13002158789036,3.79458257529291,1.81351662625904,2.02489683560006,1.80897231552597,1.86655409659147,2.78694864920721,1.98568751466953,1.95275597185671,2.41123788675043,4.78560213284875,2.40445180385644,3.22627131467729,3.2072426522622
"ANKZF1",26.1695743572369,36.0927237106694,47.4716809151697,45.4627996855575,30.5426664441408,31.3989126759275,39.4313950010522,40.5117250423011,27.831671641935,39.4854745338657,46.2622568883471,27.8296328646433,36.2060542951535,37.6916049345082,54.8169500039111,25.7849860617689,34.8696125223276,30.4687529448838,39.9018309905961,30.2801482456367,34.3696066603377,37.0818981116786,34.7287165703123,40.5689485625705,28.0881474811835,32.4144454115298,26.8859338716472,32.2357389790533,31.6688563757655,42.8160302998694,33.5613788359784,53.3739077840581,43.0801757014524,37.4284842828642,39.4053993759717,32.6334101475191,41.7108824039578,30.3734525340008,28.0390708906525,27.998311448872,34.3723666735555,37.728062778721,35.1496074934208,34.9629493578812,46.8989009019178,37.2690029597748,38.7152557761275,40.6250735953212
"ARHGAP35",10.6313895826275,10.4478937057201,10.8789268763931,9.2992090265913,10.8377203511467,8.10294520669096,9.09955269255051,10.3876218057182,6.67960119406439,7.47022491181242,7.35990450496431,8.18518613665979,11.4334908300485,10.9107277441997,13.4456669820914,8.92557209830463,8.20461471113591,9.14062588346513,12.6005782075567,10.0933827485456,8.59240166508443,6.3568968191449,12.0795535896738,9.01532190279345,9.02833311895185,8.10361135288246,8.3439105118905,9.21021113687238,9.89651761742671,8.75782437951874,10.7875860544216,10.4841604575828,5.98335773631284,10.6938526522469,6.39006476367109,12.1426642409373,9.9743414444247,8.09958734240023,7.23588926210386,9.33277048295733,8.36084594762162,10.9212813306824,10.7401578452119,9.6449515470017,8.61408383912775,12.0222590192822,9.67881394403188,6.4144853045244
"ARID2",13.0847871786185,11.3977022244219,6.92295346679558,6.1994726843942,5.91148382789822,11.1415496592001,9.09955269255051,8.31009744457458,8.90613492541919,9.60457488661597,6.30848957568369,13.0962978186557,10.4806999275444,6.94319038267256,6.20569245327295,5.95038139886975,6.15346103335193,8.12500078530234,10.5004818396306,7.85040880442433,8.59240166508443,6.3568968191449,9.81463729160999,6.31072533195541,6.0188887459679,9.00401261431384,9.27101167987834,9.21021113687238,9.89651761742671,9.73091597724305,8.39034470899459,9.53105496143895,5.98335773631284,7.48569685657285,9.58509714550663,9.10699818070299,6.34730819190663,6.07469050680017,7.23588926210386,8.3994934346616,9.28982883069069,7.94275005867811,9.76377985928355,8.43933260362649,9.5712042656975,6.0111295096411,8.60339017247278,9.6217279567866
"ARID3A",17.9915823706004,21.845595930142,19.7798670479874,20.6649089479807,28.5721718348414,32.4117808267638,41.453517821619,35.317914139442,45.6439414927733,23.477849722839,25.2339583027348,19.6444467279835,16.1974453425687,21.8214554883995,18.6170773598189,33.7188279269286,28.7161514889757,42.6562541228373,35.7016382547439,39.2520440221216,28.9993556196599,20.1301732606255,18.1193303845108,18.0306438055869,23.0724068595436,35.115649195824,41.7195525594525,39.6039078885512,33.6481598992508,30.1658395294535,31.1641374905513,20.0152154190218,19.1467447562011,25.6652463653926,28.7552914365199,20.4907459065817,17.2284079494608,26.3236588628007,40.7018770993342,39.1976360284208,35.3013495566246,32.7638439920472,27.3385836059939,30.1404735843803,22.0137698111043,19.2356144308515,25.8101705174184,28.8651838703598
