,x
1,HIVEP2
2,LYL1
3,RXRA
4,ZNF787
5,ZNF318
6,SP110
7,ZEB1
8,KLF13
9,AHR
10,ETS1
11,ZFP91
12,NFAT5
13,ZBTB7A
14,ZKSCAN5
15,NFYA
16,ZNF225
17,ZNF280D
18,ETS2
19,HIVEP3
20,MBD4
21,ZNF644
22,AEBP1
23,SP1
24,NFATC1
25,ZNF404
26,NCOA2
27,ZNF43
28,MLXIP
29,ZNF664
30,ZBTB4
31,MYBL2
32,CSRNP1
33,TGIF1
34,ZNF416
35,MEF2D
36,MZF1
37,ARID5B
38,NFIL3
39,MAFB
40,ZXDC
41,ZBTB5
42,ZNF439
43,HMGN3
44,HIVEP1
45,ZNF436
46,ZNF101
47,DRAP1
48,ZNF559
49,ZBTB10
50,MEF2B
51,ZNF549
52,CEBPD
53,THAP7
54,ZKSCAN1
55,MBD1
56,EGR1
57,ZKSCAN8
58,FIZ1
59,ZNF217
60,ZNF672
61,IRF4
62,NR3C1
63,JUNB
64,HHEX
65,IRF1
66,CENPB
67,ZNF675
68,ZNF212
69,IRF5
70,ANKZF1
71,ZNF574
72,KLF8
73,TFDP1
74,TEF
75,ATF2
76,SPIB
77,ZNF200
78,ARID3A
79,E2F5
80,NFX1
81,SAFB
82,ZBTB32
83,IKZF3
84,POU2AF1
85,E2F2
86,FLI1
87,ZSCAN16
88,MYCL
89,E2F1
90,ZNF14
91,KLF10
92,ZNF100
93,ZNF419
94,ZNF24
95,STAT6
96,ZNF514
97,KLF11
98,ZNF234
99,ZNF581
100,ZNF107
101,ZBTB7B
102,MXD1
103,IRF9
104,ATF5
105,ATMIN
106,ARNT
107,MAF
108,ZNF625
109,ZBTB42
110,ZNF639
111,ZNF503
112,BAZ2A
113,FOXP1
114,FOXJ3
115,JUND
116,IKZF1
117,IRF7
118,NFE2L2
119,ZNF564
120,HMGA1
121,NR1D2
122,IRF3
123,MAFF
124,SNAPC2
125,HSF1
126,ZBTB18
127,KDM2A
128,ZNF184
129,ZIK1
130,PRR12
131,HMBOX1
132,MBD6
133,SNAPC4
134,FOSB
135,YBX1
136,GLMP
137,ZNF441
138,TCF7L2
139,KDM2B
140,CTCF
141,SREBF1
142,POU2F2
143,TET3
144,NR1H2
145,ZNF33A
146,NR2C2
147,ZNF524
148,FOS
149,ZNF473
150,ZNF18
151,KLF6
152,NR4A2
153,SETDB1
154,ZNF207
155,ZNF700
156,ZNF776
157,ZBTB44
158,NR4A1
159,RREB1
160,SPEN
161,VEZF1
162,ZNF831
163,TFEB
164,ZBTB38
165,BHLHE40
166,SETBP1
167,MTF1
168,CXXC5
169,BCL11A
170,ELF2
171,PURA
172,ZBTB40
173,SNAPC5
174,ZFP64
175,PRDM2
176,ZNF266
177,ZNF689
178,SNAI3
179,ZNF860
180,ZNF789
181,PBX2
182,NFKB2
183,EGR2
184,ZSCAN30
185,ZNF395
186,TCFL5
187,ZFPM1
188,NFIC
189,ZNF777
190,KLF9
191,PRDM1
192,ZBED5
193,RELA
194,BCL6
195,ZNF548
196,FOXN2
197,ZNF592
198,NFATC3
199,TOPORS
200,STAT2
201,ZNF800
202,ELF1
203,ZNF721
204,DNTTIP1
205,UBP1
206,ZNF394
207,ZNF641
208,ZNF267
209,SRCAP
210,ZNF367
