,Regulatory Gene,Target Gene,weight
1,HIVEP2,ARNT,0.0425312430532605
2,LYL1,ZNF639,0.0399697262797856
3,RXRA,ZNF503,0.0374529231274051
4,ZNF787,IRF1,0.0374063816845634
5,HIVEP2,IKZF3,0.0363768417930356
6,SP110,FOXP1,0.0349062091541485
7,ZEB1,FOXJ3,0.0343576392018815
8,ZNF385A,ZNF2,0.0340300795692143
9,KLF13,ZNF503,0.0335184484980342
10,AHR,MYCL,0.0333209532273309
11,ETS1,ZNF675,0.0330532048065464
12,RELB,E2F4,0.0330016018727208
13,ZFP91,POU2AF1,0.0326831948990082
14,ZNF292,ZNF444,0.0319799114199318
15,SP110,JUND,0.03173204023032
16,NFAT5,IKZF1,0.0313176223881992
17,ZNF804A,ZFY,0.0311619357158824
18,ZFP91,IRF7,0.0310464642226852
19,ZKSCAN5,ZNF564,0.0306985583115392
20,NFYA,HMGA1,0.0306937747002826
21,MYSM1,ZNF714,0.0301038129628883
22,ZEB1,ZNF644,0.0297894253060457
23,ETS2,MYCL,0.0297353520351649
24,HIVEP3,E2F1,0.0295043934337578
25,ZBTB7A,IRF3,0.0292514001941247
26,MBD4,MAFF,0.029110813798192
27,LYL1,ZBTB10,0.0290474768885791
28,ZNF644,SNAPC2,0.0289435658145497
29,AEBP1,ZBTB18,0.0287048132512283
30,SP1,KDM2A,0.0286242956700733
31,NFATC1,ZNF184,0.0284712102426292
32,ETS1,ZIK1,0.0284105750819194
33,ZNF404,ZBTB4,0.0282090687894213
34,NCOA2,HMGN3,0.0279342909818391
35,ZBTB7A,EGR1,0.0279341638584297
36,ZNF43,HMBOX1,0.0278697348151609
37,MLXIP,MBD6,0.027594817886501
38,ZNF664,SNAPC4,0.0275768678152027
39,MBD4,FOSB,0.0274000939189097
40,ZBTB4,YBX1,0.0273955836047283
41,HIVEP2,ZNF107,0.0273283410792964
42,MYBL2,IKZF3,0.0272920998990686
43,CSRNP1,MYCL,0.0269465674504422
44,TGIF1,FLI1,0.0269459452059243
45,ZNF37A,ZNF75A,0.026847767678646
46,CSRNP1,GLMP,0.0267397955960246
47,ZNF416,ZNF441,0.0267268329005889
48,NFAT5,KDM2B,0.0264769491331776
49,MZF1,SREBF1,0.0261966690426224
50,AEBP1,ZNF503,0.0261601020773363
51,ZBTB1,ZNF75D,0.0261154818751894
52,ARID5B,POU2F2,0.0260415720413608
53,ZNF274,GPBP1,0.0259585572418576
54,SMAD4,TCF3,0.0257284099139943
55,SP110,NR1H2,0.0256049688057021
56,NFIL3,MAF,0.0255788331758961
57,IRF8,ZNF680,0.0254979166043645
58,MAFB,MYCL,0.0253564948551961
59,ZXDC,KDM2A,0.0253132507248889
60,ZEB1,ZNF33A,0.0252768919837188
61,ZBTB5,HIVEP1,0.0252049431153016
62,ZXDC,NR2C2,0.0251999808800093
63,ETS1,ZNF524,0.0251906292300452
64,ZNF439,FOS,0.025155708515575
65,ZBTB7A,ZKSCAN8,0.0250857260833236
66,HIVEP1,MAF,0.025050804180219
67,ZBTB1,ZNF880,0.0249951226119806
68,ZNF436,ZNF18,0.0249567680757102
69,HMGN3,KLF6,0.0248679901477885
70,ZNF101,SREBF1,0.0248431098156252
71,DRAP1,GLMP,0.0248422534284221
72,NCOA1,SOX12,0.0248414524974554
73,ZNF559,ZNF14,0.0247594724124986
74,ZBTB10,NR4A2,0.0247347798225898
75,CHCHD3,ZNF142,0.0246744041552584
76,MEF2B,MYCL,0.0245706262959453
77,SP110,SETDB1,0.0245541348989657
78,ZNF664,ZNF639,0.024519460263351
79,ZNF549,KDM2A,0.0244534474459224
80,CEBPD,ZNF101,0.0243835669139673
81,THAP7,HMGN3,0.0243430913955557
82,ZNF664,POU2F2,0.0243386810795499
83,ZKSCAN1,ARNT,0.0243262926429151
84,MBD1,TET3,0.0242712689781089
85,EGR1,ZNF207,0.0242651064904244
86,ZKSCAN8,E2F1,0.0242203550536172
87,ETS1,ZNF700,0.0242018439946849
88,ZNF814,ZNF354C,0.024143080617655
89,ZNF101,MAFB,0.0241345501550841
90,ZNF672,ZBTB44,0.0240705382983284
91,ZKSCAN8,ZBTB4,0.0240111983995281
92,SP110,RREB1,0.0239189253627048
93,ZKSCAN1,SPEN,0.0238454830518044
94,ZNF510,CAMTA2,0.0237986470807636
95,IRF4,SREBF1,0.0236521195302832
96,NR3C1,HIVEP1,0.0236400041699015
97,JUNB,ZNF787,0.0236348968642007
98,MEF2C,ZNF197,0.0236122817962855
99,ZEB1,VEZF1,0.0234602357704515
100,MYB,HMG20A,0.0234492409549301
101,TBPL1,ZNF140,0.0234038143020947
102,MYBL2,RXRA,0.0233553242094152
103,ZNF518A,ZNF431,0.0232445906876177
104,HIVEP1,TFEB,0.0232338782129133
105,SP110,ZBTB38,0.0232315372270647
106,HHEX,BHLHE40,0.0232256394740759
107,ZNF793,ZNF823,0.023182839536876
108,FOXJ2,ZNF623,0.0231669184728645
109,TGIF1,SETBP1,0.0231628206658235
110,NFATC1,MTF1,0.0231450061408818
111,NCOA2,NFAT5,0.0230609349873354
112,ZKSCAN8,CXXC5,0.0230599703840952
113,TRPS1,MSANTD3,0.0230482396381101
114,MAFB,SPIB,0.0230396937341807
115,LYL1,ZKSCAN1,0.0230353796672011
116,IRF1,HMGA1,0.0230273303820437
117,CENPB,BCL11A,0.0230075050111411
118,E2F3,JAZF1,0.0229703914928365
119,SON,ZNF384,0.0229529573917
120,ZNF675,ELF2,0.0229434379310657
121,KMT2A,ZNF470,0.0228610476065512
122,RXRA,MAFB,0.022858425397183
123,ZNF212,CXXC5,0.0228137305113274
124,IRF5,MYCL,0.0227722358814994
125,ZEB1,ZBTB40,0.0227230200759981
126,ANKZF1,ZBTB40,0.0226971474947546
127,ZNF664,SNAPC5,0.0225943850978401
128,ANKZF1,ZFP64,0.0225419659382388
129,CENPT,ZNF77,0.0225417939924941
130,ZNF675,PRDM2,0.0225362060575941
131,ZNF574,ZNF266,0.0225138793370797
132,ZNF197,CREB1,0.0224909539153745
133,KLF8,ZNF689,0.0224268826460268
134,ZFP91,SNAI3,0.0224149553543114
135,MYBL2,ZBTB4,0.0224100449935514
136,TFDP1,MAFB,0.0224032584058632
137,ZNF528,ZNF576,0.0224009490183432
138,THAP7,NFAT5,0.0223738093655209
139,HIVEP2,SP1,0.0223510919610541
140,TEF,MYBL2,0.0223286275271002
141,CEBPZ,ELF4,0.0223202468371857
142,IRF5,AHR,0.022303998395815
143,ATF2,JUNB,0.0222968164641245
144,KLF13,MEF2D,0.0222852700806507
145,ZNF780A,ZFP28,0.0222629985244137
146,SPIB,NR4A2,0.0222455150377245
147,ZNF200,ZKSCAN5,0.0221975948350929
148,POU6F1,ZNF211,0.0221864929837938
149,TGIF1,ZNF860,0.0221700279508955
150,MEF2B,SPIB,0.0221344120840625
151,MEF2C,ZNF160,0.0221265479497435
152,E2F5,ZNF675,0.0221154315935853
153,HIVEP1,NFKB2,0.0220516891280897
154,NFX1,KLF6,0.0220194704424125
155,SAFB,CSRNP1,0.0220048919001008
156,ZBTB7A,ZNF404,0.0219774061567973
157,AEBP1,EGR2,0.0219609175703129
158,MBD1,ZSCAN30,0.0219593220365023
159,NFATC1,ZKSCAN8,0.0219302148468075
160,MLXIP,ZBTB7A,0.0219210167964861
161,ZBTB32,SPIB,0.0218870050412496
162,MAFB,TCFL5,0.0218828823208807
163,HIVEP2,VEZF1,0.0218571591557427
164,ZNF77,ZNF780B,0.0218561996270519
165,ZNF335,TP73,0.0218108769507661
166,E2F4,ZSCAN25,0.0217710753507601
167,JUNB,ZNF777,0.0217602984248172
168,ZNF90,ZNF768,0.0217039104899014
169,IKZF3,HHEX,0.0216782823766459
170,ZBTB32,MYCL,0.0216446697825946
171,POU2AF1,KLF9,0.0216183033313115
172,FLI1,ZBED5,0.021605367488737
173,ZSCAN16,ZBTB5,0.0215884371733356
174,MYCL,BCL6,0.021579582508167
175,ZNF416,ZNF548,0.021571223470551
176,E2F1,MYCL,0.0215709623934698
177,GTF2B,ZFY,0.0215690081747889
178,ETS2,CSRNP1,0.0215554399329879
179,ZBTB25,MYB,0.0215313650134147
180,CHCHD3,ZHX2,0.0215096977001358
