,name,Degree,Closeness,Eigen,Betweeness,PageRank,Constraint,Alpha
1,ZNF14,1,0.0366629535860025,0.0661129953733252,0,0.00405057943265107,1,1
2,JUNB,7,0.0628843872036241,0.402629779735002,0,0.00405057943265107,0.154481265773452,1
3,AHR,2,0.0547284002077685,0.369630463470428,3,0.0128388368522937,0.537890718754571,1.02194410936805
4,MBD2,1,0.035244452441584,0.000347334263674105,0,0.00405057943265107,1,1
5,ZBTB7A,2,0.0400065681859429,0.0237932876096499,0,0.00405057943265107,0.513122406064843,1
6,MEF2C,11,0.0710678018757754,0.351537015044188,0,0.00405057943265107,0.0928262049435365,1
7,MAF,4,0.0500723894410864,0.11060875182315,5,0.00749357195040448,0.260651522412253,1.02253717973351
8,SP140,2,0.0462570616605266,0.0291623411952142,2,0.00782674800654698,0.514893903564564,1.02332669339196
9,REPIN1,2,0.0546795722985444,0.325987091112669,1,0.00749357195040448,0.51945481285583,1.02151860557064
10,NR3C1,4,0.0619184097455062,0.326521945877248,14,0.00616300109931506,0.30200321469941,1.02091558156473
11,ZNF12,1,0.0299793795161073,1.70176982139934e-05,0,0.00405057943265107,1,1
12,THYN1,3,0.0601492671290358,0.165291372933929,2,0.0048943132048488,0.333939173120997,1.05575924221151
13,IKZF3,4,0.0426630442994298,0.0490525573485474,4,0.00588040612452885,0.254652419786884,1.02374864305683
14,ZXDC,3,0.0718843854860075,0.385057100971125,2,0.00433681864465392,0.340300354614257,1.02263129114267
15,ZFHX3,4,0.0458026557295229,0.0764320462266219,6,0.0127011907381123,0.255536163080053,1.07935114985965
16,MAFB,4,0.0578826512352126,0.411832201207042,6,0.00716390641274972,0.35378758501583,1.04666401700238
17,RBPJ,2,0.0357639787070843,0.0142894081373194,2,0.0104201155904949,0.512732577590774,1.02189905481857
18,ETS1,8,0.0545357891261754,0.191207970141321,0,0.00405057943265107,0.127034909267576,1
19,ZNF649,1,0.0410649137880227,0.0186308418393498,0,0.00405057943265107,1,1
20,TFDP1,1,0.0485769314304172,0.0259515418009897,0,0.00405057943265107,1,1
21,ZNF484,1,0.0311402570531857,0.00162349193417938,0,0.00405057943265107,1,1
22,ELF2,3,0.059505391131947,0.297070560010796,6,0.00749357195040448,0.336021357669842,1.0228602189761
23,ZNF236,2,0.0383576172367037,0.000233580408901037,0,0.00405057943265107,0.505784081476698,1
24,LYL1,2,0.0363364550454389,0.00369574054851879,1,0.00485028966637319,0.508275231538465,1.02071862430543
25,SAFB,1,0.038185133338146,0.00764305971776074,0,0.00405057943265107,1,1
26,CC2D1A,1,0.0290283181946893,0.000798471303493913,0,0.00405057943265107,1,1
27,NR4A3,2,0.0573144561529446,0.262130555148859,1,0.00749357195040448,0.506684731015674,1.02054075171018
28,TCFL5,2,0.0585781973118408,0.334977628609644,0,0.00660305026081424,0.723368788983078,1.02232845161597
29,RXRA,2,0.0416986870371131,0.0362660064578921,0,0.00405057943265107,0.501452933261534,1
30,FOXO3,2,0.0436003110770159,0.00460147979067806,0,0.00405057943265107,0.507212247797448,1
31,NCOA1,3,0.0358290656366141,0.00179406475790967,0,0.00405057943265107,0.334223075476882,1
32,PURA,1,0.0453808319323771,0.0237322802275665,0,0.00405057943265107,1,1
