"","regulatory.gene","target.gene","weight"
"92","ZNF77","TCF20",0.0249402369719304
"93","ZNF718","NFAT5",0.0249200959604518
"94","ZNF592","ZNF8",0.0248951695123484
"95","CXXC5","EGR2",0.024885121238459
"96","BCL6","NR3C1",0.0248480496983467
"97","ZNF718","ZNF680",0.0248420790922373
"98","IRF1","ZNF441",0.0248178171185101
"99","HIVEP2","ZNF285",0.0247226649426751
"100","ZNF623","XPA",0.0246660353157474
"101","ZNF558","ZNF18",0.024535127153122
"102","KDM2A","TP73",0.0244989405138594
"103","ZBTB34","TCF7L2",0.0244944498953341
"104","ZNF90","THAP5",0.0244197588516512
"105","ZNF787","ZNF608",0.0243053937320319
"106","NR3C1","FOXO1",0.0243048171455102
"107","ZNF747","TFDP2",0.0242762853566883
"108","ZNF90","MAZ",0.024265805436378
"109","ZNF852","ZNF718",0.0242602634493414
"110","RARA","ZNF667",0.024251603278972
"113","EGR1","TCF7",0.0241554651358685
"114","AHR","VENTX",0.0240897837760994
"115","VEZF1","VENTX",0.0240835203829371
"116","ZNF860","EGR2",0.0240750893665173
"117","ZNF496","ZNF35",0.0239832194878478
"118","ZNF706","PLAGL2",0.0239568283214516
"119","MYBL2","RXRA",0.0238797494603773
"120","NCOA3","HSF1",0.0238745785846709
"121","ZNF100","C11orf95",0.0238386852498741
"122","ZNF713","ZNF836",0.0237846524468565
"123","ETS1","THYN1",0.0237435392115654
"124","MYBL2","IKZF3",0.023733515365346
"125","ZNF649","ZNF148",0.0237231806894362
"126","MBNL2","HMG20B",0.0236313506102412
"127","CC2D1A","ZNF672",0.0236025180293721
"128","ZNF880","GTF2IRD2B",0.0235680668402364
"129","ZNF581","ZNF595",0.0235677099870113
"130","CREM","NR4A3",0.023527154686037
"131","ZNF436","ZNF572",0.0235043935777526
"132","ZBTB44","FAM200B",0.02349667805763
"133","NCOA1","ZNF480",0.0234846309012789
"134","ZNF14","BCL6",0.0234722431143996
"135","ZNF555","ZNF608",0.0234034798881307
"136","GTF2I","CREB3L2",0.0233318707497355
"137","IRF1","ZBTB4",0.023328756703971
"138","ZNF718","BAZ2A",0.0233175001955893
"139","MEF2C","THYN1",0.0233157115182579
"140","NCOA1","PATZ1",0.0232496605511412
"141","ETS1","FOXP1",0.0232209971396163
"142","CC2D1A","NFATC1",0.0232127345434022
"143","ETS1","SMYD3",0.0232034487692262
"144","MEF2C","NR2C2",0.0231750572779487
"145","ZBTB37","CREB3",0.0231426081580324
"146","HOXB2","ZNF667",0.0231408767716857
"147","NCOA2","HMGN3",0.0231167001200383
"148","CHAMP1","YY1",0.0231048085125129
"149","SNAPC5","ZNF837",0.0229979860367201
"150","MEF2B","ZNF804A",0.0229933070510522
"151","ZNF718","ZNF511",0.022981023714744
"152","NFAT5","HIF1A",0.0229495059116763
"153","SP110","NR1H2",0.0229326198204602
"154","TOPORS","ZMAT1",0.0229180330492756
"155","NRL","ANKZF1",0.0229118102982796
"156","IRF1","HMGA1",0.0228497631477946
"157","HDX","HOXB2",0.0228471887534534
"158","EGR1","MYCN",0.022793404978555
"159","ZNF830","NFKB2",0.0227699554339952
"160","CDC5L","ATF6B",0.0227518838171304
"162","FOXO3","ZNF367",0.0226914659420476
"163","ETS1","ZNF511",0.0226763537955497
"164","RBPJ","IRF4",0.0225967482697418
"165","ZNF212","KLF13",0.0225955632264914
"166","IRF9","CSRNP1",0.0225662967773444
"167","NCOA1","SOX12",0.0225356153217614
"168","BHLHE40","IRF2",0.0225098318097816
"170","GATAD2B","RELA",0.0224848343233462
"171","IRF1","CREB1",0.0224810056548023
"172","ZNF217","TCF7L2",0.0224785421872482
"173","ZNF620","ZBTB43",0.0224714805389851
"174","HSF1","E2F5",0.0224485415162776
"175","ZNF449","CXXC5",0.022441069913921
"176","AKNA","MYCN",0.0224248055777042
"177","LYL1","ZNF639",0.0224086808297957
"178","ZNF558","GMEB2",0.0224048457155539
"179","ZNF681","ZNF766",0.022395471181916
"180","EGR2","PATZ1",0.0223816870148207
"181","ZNF623","ZNF436",0.0223374782866119
"182","BCL6","HIVEP1",0.022329212007716
"183","MAFB","SPIB",0.0223248542493699
"184","CENPB","ZNF331",0.0223202553595515
"185","MYBL2","ZBTB4",0.0223017047826823
"186","ZNF416","LEF1",0.0222765485004468
"187","NRL","MLXIP",0.0222723723137879
"188","PRDM2","ZNF367",0.0222622180517011
"189","ZNF74","ZNF300",0.0222612303057746
"190","TCF12","ZNF766",0.022257715379488
"191","LYL1","NFYB",0.0222573079006732
